,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Ladybug Productions Oy,01.04.2015,
1,Y-tunnus,2681314-9,,
2,Kotipaikka,Imatra,01.04.2015,
3,Yritysmuoto,Osakeyhtiö,01.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.04.2015,,
6,Lakkaamisajankohta,18.12.2018,18.12.2018,
7,Viimeisin rekisteröintiajankohta,18.12.2018,18.12.2018,
8,Yrityksen tiedot järjestelmässä alkaen,01.04.2015,,
9,Yrityksen tila,Lakannut,18.12.2018,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
