,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Nakkila Storage Oy,24.01.2019,
1,Y-tunnus,2669582-4,,
2,Kotipaikka,Nakkila,11.02.2015,
3,Yritysmuoto,Osakeyhtiö,11.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.02.2015,,
6,Viimeisin rekisteröintiajankohta,02.01.2023,02.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,11.02.2015,,
8,Yrityksen tila,Rekisterissä,11.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,21.01.2022,
11,Yhteystiedot,,10.02.2021,
12,Postiosoite,Pyssykankaantie 171  29270  Hormisto  Suomi,,
13,Käyntiosoite,Pyssykankaantie 171  29270  Hormisto  Suomi,,
14,Puhelin,0400668079,,
15,Sähköposti,harri.hoglund(a)verstasjuhlat.fi,,
16,Www,http://www.nakkilastorage.fi,,
