,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Radiomäen Kiinteistöt Oy,23.09.2015,
1,Y-tunnus,2710223-4,,
2,Kotipaikka,Lahti,23.09.2015,
3,Yritysmuoto,Osakeyhtiö,23.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.09.2015,,
6,Lakkaamisajankohta,02.02.2023,02.02.2023,
7,Viimeisin rekisteröintiajankohta,14.03.2023,14.03.2023,
8,Yrityksen tiedot järjestelmässä alkaen,23.09.2015,,
9,Yrityksen tila,Lakannut,02.02.2023,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
