,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Rocking Bear Brewers Oy,18.12.2015,
1,Y-tunnus,2727806-1,,
2,Kotipaikka,Pori,18.12.2015,
3,Yritysmuoto,Osakeyhtiö,18.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.12.2015,,
6,Lakkaamisajankohta,12.10.2022,12.10.2022,
7,Viimeisin rekisteröintiajankohta,12.10.2022,12.10.2022,
8,Yrityksen tiedot järjestelmässä alkaen,18.12.2015,,
9,Yrityksen tila,Lakannut,12.10.2022,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
