,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Juanko Oy,01.09.2015,
1,Y-tunnus,2706304-4,,
2,Kotipaikka,Kurikka,17.02.2016,
3,Yritysmuoto,Osakeyhtiö,01.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.09.2015,,
6,Lakkaamisajankohta,16.05.2017,16.05.2017,
7,Viimeisin rekisteröintiajankohta,16.05.2017,16.05.2017,
8,Yrityksen tiedot järjestelmässä alkaen,01.09.2015,,
9,Yrityksen tila,Lakannut,16.05.2017,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
