,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Hukurak Oy,08.02.2016,
1,Y-tunnus,2734240-6,,
2,Kotipaikka,Lahti,08.02.2016,
3,Yritysmuoto,Osakeyhtiö,08.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.02.2016,,
6,Lakkaamisajankohta,04.01.2023,04.01.2023,
7,Viimeisin rekisteröintiajankohta,04.01.2023,04.01.2023,
8,Yrityksen tiedot järjestelmässä alkaen,08.02.2016,,
9,Yrityksen tila,Lakannut,04.01.2023,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
