,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,LH-Rakennus Oy,20.10.2015,
1,Y-tunnus,2714660-8,,
2,Kotipaikka,Raisio,20.10.2015,
3,Yritysmuoto,Osakeyhtiö,20.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.10.2015,,
6,Viimeisin rekisteröintiajankohta,15.03.2023,15.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,20.10.2015,,
8,Yrityksen tila,Rekisterissä,20.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,15.03.2023,
11,Yhteystiedot,,04.05.2022,
12,Postiosoite,Martinkatu 7 A 7  21200  Raisio  Suomi,,
13,Puhelin,"0407380982, 0407380982",,
14,Sähköposti,lhrakennus(a)gmail.com,,
15,Www,http://lh-rakennus.com,,
