,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,YsiKoti Oy,03.07.2015,
1,Y-tunnus,2699016-1,,
2,Kotipaikka,Oulu,03.07.2015,
3,Yritysmuoto,Osakeyhtiö,03.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,03.07.2015,,
6,Viimeisin rekisteröintiajankohta,06.12.2022,06.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,03.07.2015,,
8,Yrityksen tila,Rekisterissä,03.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,01.01.2022,
12,Postiosoite,Viiritie 3 as. 5  90560  Oulu  Suomi,,
13,Puhelin,"0449996656, 0449996656",,
14,Sähköposti,heikki(a)ysikoti.com,,
15,Www,http://www.ysikoti.fi,,
