,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pikku-Edvard Oy,22.12.2015,
1,Y-tunnus,2729476-6,,
2,Kotipaikka,Lahti,22.12.2015,
3,Yritysmuoto,Osakeyhtiö,22.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,22.12.2015,,
6,Lakkaamisajankohta,07.02.2018,07.02.2018,
7,Viimeisin rekisteröintiajankohta,07.02.2018,07.02.2018,
8,Yrityksen tiedot järjestelmässä alkaen,22.12.2015,,
9,Yrityksen tila,Lakannut,07.02.2018,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
