,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Sky Rakennus Oy,27.07.2015,
1,Y-tunnus,2698775-5,,
2,Kotipaikka,Helsinki,27.07.2015,
3,Yritysmuoto,Osakeyhtiö,27.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,27.07.2015,,
6,Lakkaamisajankohta,03.08.2020,03.08.2020,
7,Viimeisin rekisteröintiajankohta,03.08.2020,03.08.2020,
8,Yrityksen tiedot järjestelmässä alkaen,27.07.2015,,
9,Yrityksen tila,Lakannut,03.08.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
