,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Jura productions Oy,23.06.2015,
1,Y-tunnus,2696009-3,,
2,Kotipaikka,Tampere,23.06.2015,
3,Yritysmuoto,Osakeyhtiö,23.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.06.2015,,
6,Viimeisin rekisteröintiajankohta,26.05.2020,26.05.2020,
7,Yrityksen tiedot järjestelmässä alkaen,23.06.2015,,
8,Yrityksen tila,Rekisterissä,23.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,11.06.2015,
12,Postiosoite,Kurpantie 4 B  33100  Tampere  Suomi,,
13,Käyntiosoite,Kurpantie 4 B  33100  Tampere  Suomi,,
14,Puhelin,+358505707799,,
15,Sähköposti,jura.ratia(a)live.com,,
