,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,KIINTEISTÖHUOLTO JTS OY,06.05.2015,
1,Y-tunnus,2688447-3,,
2,Kotipaikka,Helsinki,23.01.2019,
3,Yritysmuoto,Osakeyhtiö,06.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,06.05.2015,,
6,Viimeisin rekisteröintiajankohta,21.05.2022,21.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,06.05.2015,,
8,Yrityksen tila,Rekisterissä,06.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.05.2020,
11,Yhteystiedot,,16.02.2018,
12,Postiosoite,Orapihlajatie 33  00320  Helsinki  Suomi,,
13,Käyntiosoite,Orapihlajatie 33  00320  Helsinki  Suomi,,
14,Puhelin,041-451 9521,,
15,Sähköposti,suoloppi(a)gmail.com,,
