,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Turun Rakennus ja Asennus Oy,30.06.2015,
1,Y-tunnus,2698013-1,,
2,Kotipaikka,Turku,30.06.2015,
3,Yritysmuoto,Osakeyhtiö,30.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.06.2015,,
6,Lakkaamisajankohta,21.07.2020,21.07.2020,
7,Viimeisin rekisteröintiajankohta,13.10.2020,13.10.2020,
8,Yrityksen tiedot järjestelmässä alkaen,30.06.2015,,
9,Yrityksen tila,Lakannut,21.07.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
