,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,MB Sky Parking Oy,20.10.2015,
1,Y-tunnus,2718050-7,,
2,Kotipaikka,Helsinki,20.10.2015,
3,Yritysmuoto,Osakeyhtiö,20.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.10.2015,,
6,Lakkaamisajankohta,14.01.2022,14.01.2022,
7,Viimeisin rekisteröintiajankohta,14.01.2022,14.01.2022,
8,Yrityksen tiedot järjestelmässä alkaen,20.10.2015,,
9,Yrityksen tila,Lakannut,14.01.2022,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
