,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Finnish Amber Museum Oy,23.10.2015,
1,Y-tunnus,2716738-8,,
2,Kotipaikka,Helsinki,23.10.2015,
3,Yritysmuoto,Osakeyhtiö,23.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.10.2015,,
6,Lakkaamisajankohta,16.01.2017,16.01.2017,
7,Viimeisin rekisteröintiajankohta,16.01.2017,16.01.2017,
8,Yrityksen tiedot järjestelmässä alkaen,23.10.2015,,
9,Yrityksen tila,Lakannut,16.01.2017,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
