,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,RAUSTEEL Oy,16.02.2015,
1,Y-tunnus,2674417-1,,
2,Kotipaikka,Oulu,16.02.2015,
3,Yritysmuoto,Osakeyhtiö,16.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.02.2015,,
6,Lakkaamisajankohta,24.01.2020,24.01.2020,
7,Viimeisin rekisteröintiajankohta,16.10.2020,16.10.2020,
8,Yrityksen tiedot järjestelmässä alkaen,16.02.2015,,
9,Yrityksen tila,Lakannut,24.01.2020,
10,Yrityksellä on yrityskiinnityksiä,Kyllä,,
