,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistö Oy Vantaan Heporinne 2,10.11.2015,
1,Y-tunnus,2721144-9,,
2,Kotipaikka,Helsinki,10.11.2015,
3,Yritysmuoto,Osakeyhtiö,10.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.11.2015,,
6,Lakkaamisajankohta,11.01.2017,11.01.2017,
7,Viimeisin rekisteröintiajankohta,23.01.2017,23.01.2017,
8,Yrityksen tiedot järjestelmässä alkaen,10.11.2015,,
9,Yrityksen tila,Lakannut,11.01.2017,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
