,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,A Kuusisaari Oy,20.10.2015,
1,Y-tunnus,2713897-4,,
2,Kotipaikka,Lapua,20.10.2015,
3,Yritysmuoto,Osakeyhtiö,20.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.10.2015,,
6,Viimeisin rekisteröintiajankohta,18.05.2022,18.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.10.2015,,
8,Yrityksen tila,Rekisterissä,20.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,17.06.2020,
11,Yhteystiedot,,28.09.2015,
12,Postiosoite,Pihlajamaantie 60  62190  Ruha  Suomi,,
13,Puhelin,050-5161940,,
14,Sähköposti,antti.kuusisaari(a)gmail.com,,
