,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Oulun Dieselhuolto OY,29.07.2015,
1,Y-tunnus,2700076-4,,
2,Kotipaikka,Oulu,29.07.2015,
3,Yritysmuoto,Osakeyhtiö,29.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.07.2015,,
6,Viimeisin rekisteröintiajankohta,09.03.2023,09.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,29.07.2015,,
8,Yrityksen tila,Rekisterissä,29.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,19.08.2019,
11,Yhteystiedot,,09.07.2015,
12,Postiosoite,Herhiläistie 6  90550  Oulu  Suomi,,
13,Käyntiosoite,Hautakorventie 13 B  90620  Oulu  Suomi,,
14,Puhelin,"0400 681898, 0400 681898",,
15,Sähköposti,jukka.vihela(a)saunalahti.fi,,
