,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kisa Asunnot Oy,08.05.2015,
1,Y-tunnus,2686870-5,,
2,Kotipaikka,Helsinki,08.05.2015,
3,Yritysmuoto,Osakeyhtiö,08.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.05.2015,,
6,Viimeisin rekisteröintiajankohta,19.07.2022,19.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,08.05.2015,,
8,Yrityksen tila,Rekisterissä,08.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,24.02.2022,
11,Yhteystiedot,,24.02.2022,
12,Postiosoite,c/o Humberg  Vanha Porvoontie 314 A  01420  Vantaa  Suomi,,
13,Puhelin,0405891082,,
14,Sähköposti,loukomies(a)gmail.com,,
