,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lemmikkieläinliike Kullanmuru Oy,24.07.2015,
1,Y-tunnus,2701087-4,,
2,Kotipaikka,Kerava,24.07.2015,
3,Yritysmuoto,Osakeyhtiö,24.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.07.2015,,
6,Lakkaamisajankohta,07.09.2018,07.09.2018,
7,Viimeisin rekisteröintiajankohta,07.09.2018,07.09.2018,
8,Yrityksen tiedot järjestelmässä alkaen,24.07.2015,,
9,Yrityksen tila,Lakannut,07.09.2018,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
