,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pink Hippo Oy,23.12.2015,
1,Y-tunnus,2727817-6,,
2,Kotipaikka,Kirkkonummi,23.12.2015,
3,Yritysmuoto,Osakeyhtiö,23.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.12.2015,,
6,Viimeisin rekisteröintiajankohta,22.07.2022,22.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,23.12.2015,,
8,Yrityksen tila,Rekisterissä,23.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,03.05.2020,
11,Yhteystiedot,,29.11.2015,
12,Postiosoite,Hankaintie 16 A 3  02480  Kirkkonummi  Suomi,,
13,Puhelin,"0442907749, 0442907749",,
14,Sähköposti,nina.varhelahti(a)gmail.com,,
15,Www,http://www.happyhippo.fi,,
