,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,LOVER BOY OY,15.03.2022,
1,Y-tunnus,2678465-9,,
2,Kotipaikka,Helsinki,05.03.2015,
3,Yritysmuoto,Osakeyhtiö,05.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.03.2015,,
6,Viimeisin rekisteröintiajankohta,31.03.2022,31.03.2022,
7,Yrityksen tiedot järjestelmässä alkaen,05.03.2015,,
8,Yrityksen tila,Rekisterissä,05.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,03.08.2021,
11,Yhteystiedot,,15.06.2022,
12,Postiosoite,c/o MST-Yhtiöt Oy  Kumitehtaankatu 5 A  04260  Kerava  Suomi,,
13,Puhelin,0404153333,,
14,Sähköposti,jussi.ridanpaa(a)loop.fi,,
