,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Induco Oy,15.01.2016,
1,Y-tunnus,2732641-4,,
2,Kotipaikka,Jyväskylä,15.01.2016,
3,Yritysmuoto,Osakeyhtiö,15.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.01.2016,,
6,Viimeisin rekisteröintiajankohta,14.01.2023,14.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,15.01.2016,,
8,Yrityksen tila,Rekisterissä,15.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,30.01.2021,
11,Yhteystiedot,,20.01.2016,
12,Postiosoite,Sinkilätie 6  40530  Jyväskylä  Suomi,,
13,Käyntiosoite,Sinkilätie 6  40530  Jyväskylä  Suomi,,
14,Puhelin,0400966112,,
15,Sähköposti,satu.freyberg(a)induco.fi,,
16,Www,http://www.induco.fi,,
