,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Suuremmoinen Online Oy,29.05.2015,
1,Y-tunnus,2690062-1,,
2,Kotipaikka,Ikaalinen,29.05.2015,
3,Yritysmuoto,Osakeyhtiö,29.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.05.2015,,
6,Lakkaamisajankohta,28.05.2019,28.05.2019,
7,Viimeisin rekisteröintiajankohta,28.05.2019,28.05.2019,
8,Yrityksen tiedot järjestelmässä alkaen,29.05.2015,,
9,Yrityksen tila,Lakannut,28.05.2019,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
