,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Töölön Kiinteistönestorit Oy,17.01.2023,
1,Y-tunnus,2733634-8,,
2,Kotipaikka,Helsinki,11.01.2016,
3,Yritysmuoto,Osakeyhtiö,11.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.01.2016,,
6,Viimeisin rekisteröintiajankohta,17.05.2023,17.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,11.01.2016,,
8,Yrityksen tila,Rekisterissä,11.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.05.2021,
11,Yhteystiedot,,04.05.2023,
12,Postiosoite,c/o Harri Pailokari  Töölönkatu 44-48 E 79  00250  Helsinki  Suomi,,
13,Sähköposti,harri(a)pailokari.com,,
