,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Liizi Oy,10.08.2015,
1,Y-tunnus,2703671-6,,
2,Kotipaikka,Oulu,10.08.2015,
3,Yritysmuoto,Osakeyhtiö,10.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.08.2015,,
6,Lakkaamisajankohta,12.08.2022,12.08.2022,
7,Viimeisin rekisteröintiajankohta,12.08.2022,12.08.2022,
8,Yrityksen tiedot järjestelmässä alkaen,10.08.2015,,
9,Yrityksen tila,Lakannut,12.08.2022,
10,Yrityksen tilanne,Selvitystilassa,20.05.2020,
11,Yrityksellä on yrityskiinnityksiä,Ei,,
