,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,PajaPölli Oy,02.04.2015,
1,Y-tunnus,2684297-8,,
2,Kotipaikka,Kitee,02.04.2015,
3,Yritysmuoto,Osakeyhtiö,02.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.04.2015,,
6,Lakkaamisajankohta,22.12.2021,22.12.2021,
7,Viimeisin rekisteröintiajankohta,22.12.2021,22.12.2021,
8,Yrityksen tiedot järjestelmässä alkaen,02.04.2015,,
9,Yrityksen tila,Lakannut,22.12.2021,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
