,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,HighRoller Suomi Oy,21.04.2015,
1,Y-tunnus,2680223-9,,
2,Kotipaikka,Kajaani,21.04.2015,
3,Yritysmuoto,Osakeyhtiö,21.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.04.2015,,
6,Lakkaamisajankohta,26.08.2020,26.08.2020,
7,Viimeisin rekisteröintiajankohta,26.08.2020,26.08.2020,
8,Yrityksen tiedot järjestelmässä alkaen,21.04.2015,,
9,Yrityksen tila,Lakannut,26.08.2020,
10,Yrityksellä on yrityskiinnityksiä,Kyllä,,
