,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,KT Duunarit Oy,13.07.2015,
1,Y-tunnus,2696845-8,,
2,Kotipaikka,Urjala,13.07.2015,
3,Yritysmuoto,Osakeyhtiö,13.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,13.07.2015,,
6,Lakkaamisajankohta,13.03.2018,13.03.2018,
7,Viimeisin rekisteröintiajankohta,13.03.2018,13.03.2018,
8,Yrityksen tiedot järjestelmässä alkaen,13.07.2015,,
9,Yrityksen tila,Lakannut,13.03.2018,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
