,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistö Oy Laitilan Samppanummentie 8,01.01.2016,
1,Y-tunnus,2702509-9,,
2,Kotipaikka,Helsinki,01.01.2016,
3,Yritysmuoto,Osakeyhtiö,01.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.01.2016,,
6,Lakkaamisajankohta,02.01.2020,02.01.2020,
7,Viimeisin rekisteröintiajankohta,10.01.2020,10.01.2020,
8,Yrityksen tiedot järjestelmässä alkaen,01.01.2016,,
9,Yrityksen tila,Lakannut,02.01.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
