,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,OwnSurround Oy,11.06.2015,
1,Y-tunnus,2694422-9,,
2,Kotipaikka,Kuopio,11.06.2015,
3,Yritysmuoto,Osakeyhtiö,11.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.06.2015,,
6,Lakkaamisajankohta,04.12.2020,04.12.2020,
7,Viimeisin rekisteröintiajankohta,09.12.2020,09.12.2020,
8,Yrityksen tiedot järjestelmässä alkaen,11.06.2015,,
9,Yrityksen tila,Lakannut,04.12.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
