,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,CarbonToSoil Oy,22.12.2015,
1,Y-tunnus,2729617-1,,
2,Kotipaikka,Helsinki,22.12.2015,
3,Yritysmuoto,Osakeyhtiö,22.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,22.12.2015,,
6,Viimeisin rekisteröintiajankohta,28.12.2022,28.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,22.12.2015,,
8,Yrityksen tila,Rekisterissä,22.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.08.2021,
11,Yhteystiedot,,07.05.2021,
12,Postiosoite,c/o Annette Kauppinen  Säkkijärventie 2 A  02140  Espoo  Suomi,,
13,Puhelin,0405566537,,
14,Sähköposti,annette.kauppinen(a)me.com,,
15,Www,http://www.carbontosoil.com,,
