,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Isännöinti Riikonen Oy,07.04.2015,
1,Y-tunnus,2683640-4,,
2,Kotipaikka,Varkaus,07.04.2015,
3,Yritysmuoto,Osakeyhtiö,07.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,07.04.2015,,
6,Viimeisin rekisteröintiajankohta,10.08.2022,10.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,07.04.2015,,
8,Yrityksen tila,Rekisterissä,07.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,26.03.2020,
11,Yhteystiedot,,26.03.2015,
12,Postiosoite,Rajakatu 13 3  78200  Varkaus  Suomi,,
13,Puhelin,040 8019440,,
14,Sähköposti,terhi.riikonen(a)pp.inet.fi,,
