,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,December Acquisitions Oy,09.12.2015,
1,Y-tunnus,2730390-9,,
2,Kotipaikka,Helsinki,09.12.2015,
3,Yritysmuoto,Osakeyhtiö,09.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.12.2015,,
6,Lakkaamisajankohta,19.09.2016,19.09.2016,
7,Viimeisin rekisteröintiajankohta,19.09.2016,19.09.2016,
8,Yrityksen tiedot järjestelmässä alkaen,09.12.2015,,
9,Yrityksen tila,Lakannut,19.09.2016,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
