,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,PRB Consulting Oy,11.09.2015,
1,Y-tunnus,2706135-6,,
2,Kotipaikka,Iisalmi,11.09.2015,
3,Yritysmuoto,Osakeyhtiö,11.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.09.2015,,
6,Viimeisin rekisteröintiajankohta,11.05.2022,11.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,11.09.2015,,
8,Yrityksen tila,Rekisterissä,11.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,07.12.2017,
12,Postiosoite,c/o Piia-Riitta Bergman  Rantakatu 6 C 27  74100  Iisalmi  Suomi,,
13,Käyntiosoite,c/o Piia-Riitta Bergman  Rantakatu 6 C 27  74100  Iisalmi  Suomi,,
14,Sähköposti,piiabergman(a)hotmail.com,,
