,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Osumia Games Oy,22.05.2015,
1,Y-tunnus,2690874-6,,
2,Kotipaikka,Tampere,22.05.2015,
3,Yritysmuoto,Osakeyhtiö,22.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,22.05.2015,,
6,Viimeisin rekisteröintiajankohta,14.10.2022,14.10.2022,
7,Yrityksen tiedot järjestelmässä alkaen,22.05.2015,,
8,Yrityksen tila,Rekisterissä,22.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.04.2020,
11,Yhteystiedot,,03.09.2016,
12,Postiosoite,Koukkurannankatu 13 B  33870  Tampere  Suomi,,
13,Sähköposti,pasi.kainiemi(a)osumiagames.com,,
14,Www,http://www.osumiagames.com,,
