,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Mondi Pietarsaari Oy,24.06.2015,
1,Y-tunnus,2696659-1,,
2,Kotipaikka,Pietarsaari,24.06.2015,
3,Yritysmuoto,Osakeyhtiö,24.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.06.2015,,
6,Lakkaamisajankohta,29.11.2016,29.11.2016,
7,Viimeisin rekisteröintiajankohta,29.11.2016,29.11.2016,
8,Yrityksen tiedot järjestelmässä alkaen,24.06.2015,,
9,Yrityksen tila,Lakannut,29.11.2016,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
