,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,K. Heikkinen Holding Oy,02.04.2015,
1,Y-tunnus,2681094-1,,
2,Kotipaikka,Helsinki,02.04.2015,
3,Yritysmuoto,Osakeyhtiö,02.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.04.2015,,
6,Viimeisin rekisteröintiajankohta,05.07.2022,05.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,02.04.2015,,
8,Yrityksen tila,Rekisterissä,02.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,27.03.2020,
11,Yhteystiedot,,11.06.2020,
12,Postiosoite,c/o Frontia Asianajotoimisto Oy  Unioninkatu 30  00100  Helsinki  Suomi,,
13,Käyntiosoite,c/o Frontia Asianajotoimisto Oy  Unioninkatu 30  00100  Helsinki  Suomi,,
14,Puhelin,"044 524 6228, 044 524 6228",,
15,Sähköposti,kimmo.heikkinen(a)frontia.fi,,
