,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Mico Holding Oy,01.04.2015,
1,Y-tunnus,2683215-5,,
2,Kotipaikka,Pornainen,01.04.2015,
3,Yritysmuoto,Osakeyhtiö,01.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.04.2015,,
6,Lakkaamisajankohta,20.06.2017,20.06.2017,
7,Viimeisin rekisteröintiajankohta,07.11.2017,07.11.2017,
8,Yrityksen tiedot järjestelmässä alkaen,01.04.2015,,
9,Yrityksen tila,Lakannut,20.06.2017,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
