,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Souwa Honpo Oy,04.11.2015,
1,Y-tunnus,2722142-8,,
2,Kotipaikka,Helsinki,04.11.2015,
3,Yritysmuoto,Osakeyhtiö,04.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,04.11.2015,,
6,Viimeisin rekisteröintiajankohta,02.03.2023,02.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,04.11.2015,,
8,Yrityksen tila,Rekisterissä,04.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,13.05.2020,
11,Yhteystiedot,,03.11.2015,
12,Postiosoite,Kivelänkatu 5-7 B 44  00260  Helsinki  Suomi,,
13,Puhelin,0400299415,,
14,Sähköposti,sushiwagocoro(a)gmail.com,,
