,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Repoware Oy,14.04.2015,
1,Y-tunnus,2683076-6,,
2,Kotipaikka,Tampere,14.04.2015,
3,Yritysmuoto,Osakeyhtiö,14.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.04.2015,,
6,Viimeisin rekisteröintiajankohta,15.04.2022,15.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,14.04.2015,,
8,Yrityksen tila,Rekisterissä,14.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,07.07.2019,
11,Yhteystiedot,,27.06.2021,
12,Postiosoite,c/o Daniel Saarimäki  Arkkitehdinkatu 38 A 3  33720  Tampere  Suomi,,
13,Käyntiosoite,c/o Daniel Saarimäki  Arkkitehdinkatu 38 A 3  33720  Tampere  Suomi,,
14,Sähköposti,daniel.saarimaki(a)hotmail.fi,,
