,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Maarakennus J.Vuorio Oy,25.01.2016,
1,Y-tunnus,2738256-3,,
2,Kotipaikka,Tampere,25.01.2016,
3,Yritysmuoto,Osakeyhtiö,25.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.01.2016,,
6,Lakkaamisajankohta,24.10.2022,24.10.2022,
7,Viimeisin rekisteröintiajankohta,24.10.2022,24.10.2022,
8,Yrityksen tiedot järjestelmässä alkaen,25.01.2016,,
9,Yrityksen tila,Lakannut,24.10.2022,
10,Yrityksen tilanne,Konkurssissa,06.10.2021,
11,Yrityksellä on yrityskiinnityksiä,Kyllä,,
