,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,DG Holding Oy,21.12.2015,
1,Y-tunnus,2732183-2,,
2,Kotipaikka,Helsinki,21.12.2015,
3,Yritysmuoto,Osakeyhtiö,21.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.12.2015,,
6,Viimeisin rekisteröintiajankohta,06.04.2023,06.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,21.12.2015,,
8,Yrityksen tila,Rekisterissä,21.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,23.06.2020,
11,Yhteystiedot,,23.11.2021,
12,Postiosoite,c/o Markus Jussila  Tehtaankatu 9 A 6  00140  Helsinki  Suomi,,
13,Käyntiosoite,c/o Markus Jussila  Tehtaankatu 9 A 6  00140  Helsinki  Suomi,,
14,Puhelin,"0503467570, 0503467570",,
15,Sähköposti,markus.jussila(a)leidenschaft.fi,,
