,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Juni Communication & Production Oy,07.08.2015,
1,Y-tunnus,2702856-4,,
2,Kotipaikka,Helsinki,07.08.2015,
3,Yritysmuoto,Osakeyhtiö,07.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,07.08.2015,,
6,Viimeisin rekisteröintiajankohta,13.05.2022,13.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,07.08.2015,,
8,Yrityksen tila,Rekisterissä,07.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,07.04.2020,
11,Yhteystiedot,,31.07.2018,
12,Postiosoite,c/o Martta Louekari  Hakolahdentie 4 A 3  00200  Helsinki  Suomi,,
13,Käyntiosoite,c/o B&M Architects  Merimiehenkatu 12  00150  Helsinki  Suomi,,
14,Puhelin,0405192199,,
15,Sähköposti,miia(a)juni.fi,,
16,Www,http://www.juni.fi,,
