,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Porostar Oy,02.09.2015,
1,Y-tunnus,2707571-5,,
2,Kotipaikka,Tampere,02.09.2015,
3,Yritysmuoto,Osakeyhtiö,02.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.09.2015,,
6,Lakkaamisajankohta,11.05.2020,11.05.2020,
7,Viimeisin rekisteröintiajankohta,11.05.2020,11.05.2020,
8,Yrityksen tiedot järjestelmässä alkaen,02.09.2015,,
9,Yrityksen tila,Lakannut,11.05.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
