,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,TST Yhtiöt Oy,14.04.2015,
1,Y-tunnus,2684743-7,,
2,Kotipaikka,Keuruu,14.04.2015,
3,Yritysmuoto,Osakeyhtiö,14.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.04.2015,,
6,Viimeisin rekisteröintiajankohta,24.05.2022,24.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,14.04.2015,,
8,Yrityksen tila,Rekisterissä,14.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,02.04.2015,
12,Postiosoite,Kaaritie 3  42700  Keuruu  Suomi,,
13,Käyntiosoite,Kaaritie 3  42700  Keuruu  Suomi,,
14,Puhelin,0400867755,,
15,Sähköposti,tomi.tukiainen(a)kymppirakentajat.fi,,
