,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Savelan Peltoviljely Oy,12.06.2015,
1,Y-tunnus,2694674-2,,
2,Kotipaikka,Sastamala,12.06.2015,
3,Yritysmuoto,Osakeyhtiö,12.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.06.2015,,
6,Lakkaamisajankohta,31.12.2016,31.12.2016,
7,Viimeisin rekisteröintiajankohta,23.05.2017,23.05.2017,
8,Yrityksen tiedot järjestelmässä alkaen,12.06.2015,,
9,Yrityksen tila,Lakannut,31.12.2016,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
