,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Maarakennus Aitto-oja Oy,13.11.2015,
1,Y-tunnus,2723239-7,,
2,Kotipaikka,Oulu,13.11.2015,
3,Yritysmuoto,Osakeyhtiö,13.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,13.11.2015,,
6,Viimeisin rekisteröintiajankohta,03.02.2023,03.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,13.11.2015,,
8,Yrityksen tila,Rekisterissä,13.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,19.06.2020,
11,Yhteystiedot,,23.08.2021,
12,Postiosoite,Paijalannummentie 16 A 2  04300  Tuusula  Suomi,,
13,Käyntiosoite,c/o Maarakennus Aitto-oja Oy  Paijalannummentie 16 A 2  04300  Tuusula  Suomi,,
14,Puhelin,040-502 4841,,
15,Sähköposti,tomi.aitto(a)gmail.com,,
