,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Aulac Oy,24.08.2015,
1,Y-tunnus,2701301-2,,
2,Kotipaikka,Helsinki,24.08.2015,
3,Yritysmuoto,Osakeyhtiö,24.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.08.2015,,
6,Lakkaamisajankohta,03.12.2020,03.12.2020,
7,Viimeisin rekisteröintiajankohta,28.01.2021,28.01.2021,
8,Yrityksen tiedot järjestelmässä alkaen,24.08.2015,,
9,Yrityksen tila,Lakannut,03.12.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
