,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,STULIA OY,14.10.2015,
1,Y-tunnus,2712416-9,,
2,Kotipaikka,Jyväskylä,14.10.2015,
3,Yritysmuoto,Osakeyhtiö,14.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.10.2015,,
6,Viimeisin rekisteröintiajankohta,10.02.2023,10.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,14.10.2015,,
8,Yrityksen tila,Rekisterissä,14.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.05.2020,
11,Yhteystiedot,,09.12.2019,
12,Postiosoite,c/o Suvi-Tuulia Lahnalampi  Taulumäentie 53 B 30  40200  Jyväskylä  Suomi,,
13,Puhelin,050 412 9331,,
14,Sähköposti,suvi.lahnalampi(a)kotijoukkue.fi,,
