,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,PREANTA OY,23.11.2015,
1,Y-tunnus,2720451-3,,
2,Kotipaikka,Oulu,23.11.2015,
3,Yritysmuoto,Osakeyhtiö,23.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.11.2015,,
6,Viimeisin rekisteröintiajankohta,19.11.2020,19.11.2020,
7,Yrityksen tiedot järjestelmässä alkaen,23.11.2015,,
8,Yrityksen tila,Rekisterissä,23.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,31.10.2016,
12,Postiosoite,Sipolanranta 24  90840  Haukipudas  Suomi,,
13,Käyntiosoite,c/o PREANTA OY  Taka-Lyötyn katu 4  90140  Oulu  Suomi,,
14,Puhelin,0409628962,,
15,Sähköposti,marjaliisapiira(a)gmail.com,,
