,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Valmet Automation Property Oy,18.05.2015,
1,Y-tunnus,2665919-6,,
2,Kotipaikka,Helsinki,26.01.2015,
3,Yritysmuoto,Osakeyhtiö,26.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.01.2015,,
6,Lakkaamisajankohta,30.03.2016,30.03.2016,
7,Viimeisin rekisteröintiajankohta,09.08.2016,09.08.2016,
8,Yrityksen tiedot järjestelmässä alkaen,26.01.2015,,
9,Yrityksen tila,Lakannut,30.03.2016,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
