,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistöpalvelu Kukkonen Oy,21.04.2015,
1,Y-tunnus,2687132-2,,
2,Kotipaikka,Heinola,21.04.2015,
3,Yritysmuoto,Osakeyhtiö,21.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.04.2015,,
6,Viimeisin rekisteröintiajankohta,08.09.2022,08.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,21.04.2015,,
8,Yrityksen tila,Rekisterissä,21.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,26.03.2020,
11,Yhteystiedot,,29.06.2020,
12,Postiosoite,Rajakatu 28  18100  Heinola  Suomi,,
13,Käyntiosoite,Villenkatu 46  18200  Heinola  Suomi,,
14,Puhelin,050 340 3575,,
15,Sähköposti,mikko.kukkonen(a)phnet.fi,,
16,Www,https://kiinteistopalvelukukkonen.fi,,
