,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Mostly Gold Consulting Oy,07.08.2015,
1,Y-tunnus,2701481-6,,
2,Kotipaikka,Vaasa,07.08.2015,
3,Yritysmuoto,Osakeyhtiö,07.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,07.08.2015,,
6,Lakkaamisajankohta,05.04.2018,05.04.2018,
7,Viimeisin rekisteröintiajankohta,21.09.2018,21.09.2018,
8,Yrityksen tiedot järjestelmässä alkaen,07.08.2015,,
9,Yrityksen tila,Lakannut,05.04.2018,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
