,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Urakointi Ruusunen Oy,01.02.2016,
1,Y-tunnus,2735533-8,,
2,Kotipaikka,Masku,01.02.2016,
3,Yritysmuoto,Osakeyhtiö,01.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.02.2016,,
6,Viimeisin rekisteröintiajankohta,06.05.2023,06.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.02.2016,,
8,Yrityksen tila,Rekisterissä,01.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,05.11.2019,
11,Yhteystiedot,,18.06.2020,
12,Postiosoite,Teollisuuskaari 14  21250  Masku  Suomi,,
13,Sähköposti,antti.ruusunen(a)urakointiruusunen.fi,,
14,Www,http://www.urakointiruusunen.fi,,
