,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistöyhtiö Marjo Oy,06.08.2015,
1,Y-tunnus,2702894-3,,
2,Kotipaikka,Hämeenlinna,06.08.2015,
3,Yritysmuoto,Osakeyhtiö,06.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,06.08.2015,,
6,Viimeisin rekisteröintiajankohta,23.04.2022,23.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,06.08.2015,,
8,Yrityksen tila,Rekisterissä,06.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,13.07.2020,
11,Yhteystiedot,,03.08.2015,
12,Postiosoite,Alvettulantie 168  14680  Alvettula  Suomi,,
13,Puhelin,0458422550,,
14,Sähköposti,alvettulankylis(a)gmail.com,,
