,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kotila Group Oy,15.01.2016,
1,Y-tunnus,2733133-6,,
2,Kotipaikka,Raahe,15.01.2016,
3,Yritysmuoto,Osakeyhtiö,15.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.01.2016,,
6,Viimeisin rekisteröintiajankohta,11.11.2022,11.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,15.01.2016,,
8,Yrityksen tila,Rekisterissä,15.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,22.12.2015,
12,Postiosoite,Raahentie 365  86400  Vihanti  Suomi,,
13,Käyntiosoite,Raahentie 365  86400  Vihanti  Suomi,,
14,Puhelin,0405113279,,
15,Sähköposti,a.kotila(a)kotinet.com,,
