,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,LS Holding Oy,29.09.2015,
1,Y-tunnus,2693665-9,,
2,Kotipaikka,Espoo,29.09.2015,
3,Yritysmuoto,Osakeyhtiö,03.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,03.06.2015,,
6,Lakkaamisajankohta,29.02.2016,29.02.2016,
7,Viimeisin rekisteröintiajankohta,13.07.2016,13.07.2016,
8,Yrityksen tiedot järjestelmässä alkaen,03.06.2015,,
9,Yrityksen tila,Lakannut,29.02.2016,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
