,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Ab ASHI & Son Engineers Oy,21.04.2015,
1,Y-tunnus,2685172-7,,
2,Kotipaikka,Pietarsaari,21.04.2015,
3,Yritysmuoto,Osakeyhtiö,21.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.04.2015,,
6,Lakkaamisajankohta,03.02.2021,03.02.2021,
7,Viimeisin rekisteröintiajankohta,21.04.2021,21.04.2021,
8,Yrityksen tiedot järjestelmässä alkaen,21.04.2015,,
9,Yrityksen tila,Lakannut,03.02.2021,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
