,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,NS Development Oy,02.09.2015,
1,Y-tunnus,2705934-4,,
2,Kotipaikka,Oulu,02.09.2015,
3,Yritysmuoto,Osakeyhtiö,02.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.09.2015,,
6,Viimeisin rekisteröintiajankohta,28.03.2023,28.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,02.09.2015,,
8,Yrityksen tila,Rekisterissä,02.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,17.09.2015,
12,Postiosoite,Suokkosentie 154  90830  Haukipudas  Suomi,,
13,Käyntiosoite,Suokkosentie 154  90830  Haukipudas  Suomi,,
14,Sähköposti,antti.saikkonen5(a)gmail.com,,
