,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Reperio Oy,28.10.2015,
1,Y-tunnus,2717260-3,,
2,Kotipaikka,Helsinki,28.10.2015,
3,Yritysmuoto,Osakeyhtiö,28.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,28.10.2015,,
6,Viimeisin rekisteröintiajankohta,10.07.2021,10.07.2021,
7,Yrityksen tiedot järjestelmässä alkaen,28.10.2015,,
8,Yrityksen tila,Rekisterissä,28.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.03.2021,
11,Yhteystiedot,,28.10.2015,
12,Postiosoite,c/o Sture Carlson  Vähäniityntie 6 A  00570  Helsinki  Suomi,,
13,Käyntiosoite,c/o Sture Carlson  Vähäniityntie 6 A  00570  Helsinki  Suomi,,
14,Puhelin,0407796706,,
15,Sähköposti,reperio.oy(a)outlook.com,,
