,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Finnish Gabber Promotions Oy,21.01.2015,
1,Y-tunnus,2664044-4,,
2,Kotipaikka,Vaasa,21.01.2015,
3,Yritysmuoto,Osakeyhtiö,21.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.01.2015,,
6,Lakkaamisajankohta,22.11.2021,22.11.2021,
7,Viimeisin rekisteröintiajankohta,22.11.2021,22.11.2021,
8,Yrityksen tiedot järjestelmässä alkaen,21.01.2015,,
9,Yrityksen tila,Lakannut,22.11.2021,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
