,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Fit and Fat Oy,08.05.2015,
1,Y-tunnus,2688612-9,,
2,Kotipaikka,Ikaalinen,08.05.2015,
3,Yritysmuoto,Osakeyhtiö,08.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.05.2015,,
6,Lakkaamisajankohta,14.12.2020,14.12.2020,
7,Viimeisin rekisteröintiajankohta,26.03.2021,26.03.2021,
8,Yrityksen tiedot järjestelmässä alkaen,08.05.2015,,
9,Yrityksen tila,Lakannut,14.12.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
